x, y, u, v: 423, 119, 1.82171, 2.13643
x, y, u, v: 439, 119, 1.54148, 1.79865
x, y, u, v: 455, 119, 0.909188, 1.49009
x, y, u, v: 471, 119, 1.22703, 1.9725
x, y, u, v: 487, 119, 1.0644, 1.9252
x, y, u, v: 503, 119, 1.04811, 1.93497
x, y, u, v: 7, 135, 0.947292, -1.99181
x, y, u, v: 23, 135, 1.07576, -2.03218
x, y, u, v: 39, 135, 1.11584, -2.15801
x, y, u, v: 55, 135, 0.972321, -2.24921
x, y, u, v: 71, 135, 1.49946, -2.2637
x, y, u, v: 87, 135, 1.61753, -2.43456
x, y, u, v: 103, 135, 1.88067, -2.41999
x, y, u, v: 119, 135, 2.08495, -2.48175
x, y, u, v: 135, 135, 2.49237, -2.39929
x, y, u, v: 151, 135, 2.81482, -2.67117
x, y, u, v: 167, 135, 2.8674, -2.61625
x, y, u, v: 183, 135, 3.62256, -2.16646
x, y, u, v: 199, 135, 3.80474, -2.07437
x, y, u, v: 215, 135, 4.21353, -1.58568
x, y, u, v: 231, 135, 4.65621, -1.08448
x, y, u, v: 247, 135, 4.63523, -0.461185
x, y, u, v: 263, 135, 4.81603, 0.271987
x, y, u, v: 279, 135, 4.67674, 0.872976
x, y, u, v: 295, 135, 3.97631, 1.53759
x, y, u, v: 311, 135, 3.9858, 1.86604
x, y, u, v: 327, 135, 3.75433, 2.21734
x, y, u, v: 343, 135, 3.27808, 2.37525
x, y, u, v: 359, 135, 2.91797, 2.58974
x, y, u, v: 375, 135, 2.4006, 2.46995
x, y, u, v: 391, 135, 2.17981, 2.55019
x, y, u, v: 407, 135, 1.74864, 2.4077
x, y, u, v: 423, 135, 1.59464, 2.4046
x, y, u, v: 439, 135, 1.57452, 2.32753
x, y, u, v: 455, 135, 1.22555, 2.14106
x, y, u, v: 471, 135, 1.17064, 2.07754
x, y, u, v: 487, 135, 1.09225, 2.04606
x, y, u, v: 503, 135, 0.96475, 1.97031
x, y, u, v: 7, 151, 0.88167, -2.04703
x, y, u, v: 23, 151, 0.955576, -2.17073
x, y, u, v: 39, 151, 1.14624, -2.26891
x, y, u, v: 55, 151, 1.18848, -2.3395
x, y, u, v: 71, 151, 1.33012, -2.43082
x, y, u, v: 87, 151, 1.60685, -2.67217
x, y, u, v: 103, 151, 1.8335, -2.79328
x, y, u, v: 119, 151, 2.13234, -2.7531
x, y, u, v: 135, 151, 2.34328, -2.94598
x, y, u, v: 151, 151, 3.25898, -3.22085
x, y, u, v: 167, 151, 3.21956, -2.8065
x, y, u, v: 183, 151, 3.58961, -2.44706
x, y, u, v: 199, 151, 4.28011, -2.43393
x, y, u, v: 215, 151, 4.56311, -1.94602
x, y, u, v: 231, 151, 4.87419, -0.951769
x, y, u, v: 247, 151, 4.99879, -0.64016
x, y, u, v: 263, 151, 5.11333, 0.292305
x, y, u, v: 279, 151, 5.04381, 0.878049
x, y, u, v: 295, 151, 4.63845, 1.62915
x, y, u, v: 311, 151, 4.24293, 2.26184
x, y, u, v: 327, 151, 3.61611, 2.53203
x, y, u, v: 343, 151, 3.26193, 2.69144
x, y, u, v: 359, 151, 2.84416, 2.80613
x, y, u, v: 375, 151, 2.49053, 2.76112
x, y, u, v: 391, 151, 2.13801, 2.73148
x, y, u, v: 407, 151, 1.88449, 2.71777
x, y, u, v: 423, 151, 1.6354, 2.54815
x, y, u, v: 439, 151, 1.39893, 2.43157
x, y, u, v: 455, 151, 1.15162, 2.27443
x, y, u, v: 471, 151, 1.13063, 2.30261
x, y, u, v: 487, 151, 0.980025, 2.0402
x, y, u, v: 503, 151, 0.88237, 2.02385
x, y, u, v: 7, 167, 0.782591, -2.18663
x, y, u, v: 23, 167, 0.871664, -2.12558
x, y, u, v: 39, 167, 0, 0
x, y, u, v: 55, 167, 1.16229, -2.53112
x, y, u, v: 71, 167, 1.17876, -2.76554
x, y, u, v: 87, 167, 1.34535, -2.89762
x, y, u, v: 103, 167, 1.61918, -3.05903
x, y, u, v: 119, 167, 2.06554, -3.12054
x, y, u, v: 135, 167, 2.35944, -3.39983
x, y, u, v: 151, 167, 2.80691, -3.25347
x, y, u, v: 167, 167, 2.99346, -3.44446
x, y, u, v: 183, 167, 3.48361, -3.26272
x, y, u, v: 199, 167, 4.19121, -2.84649
x, y, u, v: 215, 167, 4.69485, -2.26786
x, y, u, v: 231, 167, 5.09084, -1.68494
x, y, u, v: 247, 167, 5.20868, -0.618715
x, y, u, v: 263, 167, 5.49339, 0.227807
x, y, u, v: 279, 167, 5.23965, 1.10309
x, y, u, v: 295, 167, 4.86682, 2.05031
x, y, u, v: 311, 167, 4.3177, 2.77978
x, y, u, v: 327, 167, 3.83606, 3.00656
x, y, u, v: 343, 167, 3.02346, 3.23502
x, y, u, v: 359, 167, 2.77982, 3.26074
x, y, u, v: 375, 167, 2.23175, 3.23349
x, y, u, v: 391, 167, 2.01986, 3.04313
x, y, u, v: 407, 167, 1.73815, 2.98112
x, y, u, v: 423, 167, -1.64015, -4.86215
x, y, u, v: 439, 167, 1.2277, 2.58932
x, y, u, v: 455, 167, 1.1523, 2.4692
x, y, u, v: 471, 167, 1.00325, 2.35984
x, y, u, v: 487, 167, 0.789266, 2.25495
x, y, u, v: 503, 167, 0.75224, 2.15331
x, y, u, v: 7, 183, 0.67306, -2.19735
x, y, u, v: 23, 183, 0.770087, -2.40625
x, y, u, v: 39, 183, 0.814546, -2.47268
x, y, u, v: 55, 183, 0.985876, -2.65584
x, y, u, v: 71, 183, 1.04376, -2.86543
x, y, u, v: 87, 183, 1.27459, -3.01029
x, y, u, v: 103, 183, 1.39433, -3.39045
x, y, u, v: 119, 183, 1.86402, -3.53051
x, y, u, v: 135, 183, 2.03532, -3.75733
x, y, u, v: 151, 183, 2.61806, -3.84403
x, y, u, v: 167, 183, 3.13931, -3.82709
x, y, u, v: 183, 183, 3.52128, -3.67834
x, y, u, v: 199, 183, 4.09077, -3.57896
x, y, u, v: 215, 183, 4.55296, -2.8299
x, y, u, v: 231, 183, 5.01931, -1.81529
x, y, u, v: 247, 183, 5.32929, -0.937629
x, y, u, v: 263, 183, 5.30938, 0.461404
x, y, u, v: 279, 183, 5.13831, 1.72846
x, y, u, v: 295, 183, 4.60874, 2.23083
x, y, u, v: 311, 183, 3.87147, 3.2076
x, y, u, v: 327, 183, 3.63296, 3.58114
x, y, u, v: 343, 183, 3.00978, 3.71469
x, y, u, v: 359, 183, 2.39174, 4.01683
x, y, u, v: 375, 183, 1.99882, 3.45033
x, y, u, v: 391, 183, 1.83586, 3.2901
x, y, u, v: 407, 183, 1.62518, 3.18022
x, y, u, v: 423, 183, 1.3193, 3.22906
x, y, u, v: 439, 183, 1.08684, 2.73939
x, y, u, v: 455, 183, -7.04425, -5.14811
x, y, u, v: 471, 183, 0.852523, 2.50954
x, y, u, v: 487, 183, 0.735438, 2.36164
x, y, u, v: 503, 183, 0.72127, 2.17346
x, y, u, v: 7, 199, 0.503479, -2.21251
x, y, u, v: 23, 199, 0.789755, -2.54468
x, y, u, v: 39, 199, 0.70911, -2.56204
x, y, u, v: 55, 199, 0.802482, -2.93491
x, y, u, v: 71, 199, 0.860141, -3.11426
x, y, u, v: 87, 199, 0.992156, -3.28543
x, y, u, v: 103, 199, 1.23084, -3.34223
x, y, u, v: 119, 199, 1.32391, -3.88747
x, y, u, v: 135, 199, 1.73882, -4.10949
x, y, u, v: 151, 199, 2.13332, -4.22441
x, y, u, v: 167, 199, 2.76294, -4.23417
x, y, u, v: 183, 199, 3.31211, -4.39384
x, y, u, v: 199, 199, 3.59909, -4.02476
x, y, u, v: 215, 199, 4.31635, -3.08407
x, y, u, v: 231, 199, 4.82814, -1.98506
x, y, u, v: 247, 199, 4.93819, -0.755696
x, y, u, v: 263, 199, 4.90295, 0.361823
x, y, u, v: 279, 199, 4.80236, 1.88919
x, y, u, v: 295, 199, 4.07016, 3.0403
x, y, u, v: 311, 199, 4.11912, 3.84863
x, y, u, v: 327, 199, 3.35766, 4.17042
x, y, u, v: 343, 199, 2.66025, 4.28729
x, y, u, v: 359, 199, 2.33253, 4.1591
x, y, u, v: 375, 199, 1.98879, 3.96598
x, y, u, v: 391, 199, 1.59226, 3.71638
x, y, u, v: 407, 199, 1.208, 3.51749
x, y, u, v: 423, 199, 1.07674, 3.13886
x, y, u, v: 439, 199, 0.901923, 3.03627
x, y, u, v: 455, 199, 0.74555, 2.74296
x, y, u, v: 471, 199, 0.697059, 2.64029
x, y, u, v: 487, 199, 0.592724, 2.37433
x, y, u, v: 503, 199, 0.486368, 2.28142
x, y, u, v: 7, 215, 0.339676, -2.33389
x, y, u, v: 23, 215, 0.423598, -2.4155
x, y, u, v: 39, 215, 0.461843, -2.75354
x, y, u, v: 55, 215, 0.498239, -2.83772
x, y, u, v: 71, 215, 0.687801, -3.07778
x, y, u, v: 87, 215, 0.719071, -3.36317
x, y, u, v: 103, 215, 0.949064, -3.66586
