x, y, u, v: 39, 303, -0.757157, -2.65556
x, y, u, v: 39, 311, -0.774392, -2.66817
x, y, u, v: 39, 319, -0.813014, -2.58
x, y, u, v: 39, 327, -0.949521, -2.53598
x, y, u, v: 39, 335, -0.940433, -2.47756
x, y, u, v: 39, 343, -1.05946, -2.40983
x, y, u, v: 39, 351, -1.0735, -2.36705
x, y, u, v: 39, 359, -1.18374, -2.28269
x, y, u, v: 39, 367, -1.09176, -1.91397
x, y, u, v: 39, 375, -1.19367, -2.06074
x, y, u, v: 39, 383, -1.23629, -2.05051
x, y, u, v: 39, 391, -1.31293, -2.01563
x, y, u, v: 39, 399, -1.32294, -1.95827
x, y, u, v: 39, 407, -1.38738, -1.67463
x, y, u, v: 39, 415, -1.29798, -1.81317
x, y, u, v: 39, 423, -1.29576, -1.79701
x, y, u, v: 39, 431, -1.43759, -1.65466
x, y, u, v: 39, 439, -1.32071, -1.47743
x, y, u, v: 39, 447, -1.29664, -1.52158
x, y, u, v: 39, 455, -1.38651, -1.5466
x, y, u, v: 39, 463, -1.38263, -1.46873
x, y, u, v: 39, 471, -1.41479, -1.3188
x, y, u, v: 39, 479, -1.39435, -1.37655
x, y, u, v: 39, 487, -1.40824, -1.37998
x, y, u, v: 39, 495, -1.35664, -1.25825
x, y, u, v: 39, 503, -1.31474, -1.28254
x, y, u, v: 47, 7, 1.49737, -1.21983
x, y, u, v: 47, 15, 1.47241, -1.22021
x, y, u, v: 47, 23, 1.32766, -1.28723
x, y, u, v: 47, 31, 1.31051, -1.31712
x, y, u, v: 47, 39, -4.88936, 2.94625
x, y, u, v: 47, 47, 1.41778, -1.41004
x, y, u, v: 47, 55, 1.23866, -1.44921
x, y, u, v: 47, 63, 1.25228, -1.49901
x, y, u, v: 47, 71, 1.55868, -1.73274
x, y, u, v: 47, 79, 1.51485, -1.72928
x, y, u, v: 47, 87, 1.42017, -1.75894
x, y, u, v: 47, 95, 1.44158, -1.819
x, y, u, v: 47, 103, 1.378, -1.81284
x, y, u, v: 47, 111, 1.30637, -2.10327
x, y, u, v: 47, 119, 1.23858, -2.01081
x, y, u, v: 47, 127, 1.22102, -2.01265
x, y, u, v: 47, 135, 1.2096, -2.14122
x, y, u, v: 47, 143, 1.20699, -2.24227
x, y, u, v: 47, 151, 1.10512, -2.30098
x, y, u, v: 47, 159, 1.11324, -2.35033
x, y, u, v: 47, 167, 1.07384, -2.44322
x, y, u, v: 47, 175, 0.837747, -2.49333
x, y, u, v: 47, 183, 0.962347, -2.50157
x, y, u, v: 47, 191, 0.904199, -2.5113
x, y, u, v: 47, 199, 0.678737, -2.69114
x, y, u, v: 47, 207, 0.591988, -2.66581
x, y, u, v: 47, 215, 0.552358, -2.71933
x, y, u, v: 47, 223, 0.338262, -2.8428
x, y, u, v: 47, 231, 0.281609, -2.85168
x, y, u, v: 47, 239, 0.211436, -2.87906
x, y, u, v: 47, 247, 0.0885208, -2.85461
x, y, u, v: 47, 255, -0.0149516, -2.76751
x, y, u, v: 47, 263, -0.0970363, -2.92754
x, y, u, v: 47, 271, -0.245377, -2.88257
x, y, u, v: 47, 279, -0.323388, -2.8586
